Date,General,Consumer_goods,Intermediate
dez/17,81.0 ,82.7,81.8
jan/18,82.3 ,83.2,83.4
fev/18,77.3 ,79.5,76.9
mar/18,86.3 ,90.1,84.5
abr/18,86.6 ,89.3,86
mai/18,84.4 ,81.8,87.4
jun/18,91.3 ,90.5,93.1
jul/18,96.1 ,95.1,98.9
ago/18,98.3 ,101.1,98.2
set/18,90.9 ,92.8,91.6
out/18,95.9 ,101.1,94.3
nov/18,89.6 ,94.5,88.4
dez/18,78.1 ,79.0,79.6
jan/19,80.3 ,81.0,82.2
fev/19,78.8 ,83.7,76.6
